Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10
SARL TESMEB;KORIAA SECTION N° 01 LOT 229 COMMUNNE DJBALA;TLEMCEN;Algerie;0659 42 13 10 ;0659 71 13 11 ;SMIDOUN@YAHOO.FR;;;
SARL THERMO-TECH;ZONE GARIDI - J01- N°12- KOUBA;ALGER;Algerie;021.68.96.01/0560.900.844;021.28.18.07;thermo-tech@hotmail.com;;;
SARL TEKNOBRIK;26       LOT ROUTE DE SIDI ABED N°2 TESSALA EL MERDJA;ALGER;Algerie;0560.04.45.18 023 58 30 04 ;;teknobrik.tech@live.fr;;;
SARL THERMOCLIMA IMPORT/EXPORT;CITE DU LYCEE N E 07 ROUIBA ALGER;ALGER;Algerie;023.96.28.23;023.96.28.23;thermoclima.vente@gmail.com;;;
SARL VERDESAL DJAZAIR;HA I GALLOUL 16111 - BORDJ EL BAHRI;ALGER;Algerie;023 96 97 30;023 96 97 29;myaissaoui@verdes.com;;;
SARL VOLCANOMED;48 B RUE COLONEL BOUGUERA BELLE VUE EL HARRACH ALGER;ALGER;Algerie;021.82.12.08/0561.50.71.57;021.82.10.65;volcanomed@yahoo.fr;;;
SARL WINDOORALGERIE;159 SIDI ABED LOT N°05 TASSALA EL MERDJA ALGER;ALGER;Algerie;0770.605.606 ;;nabil_windoor@hotmail.fr;;;
SARL ZAMOUNCERAMIC OR/SOL TEK SRL;ZONE D'ACTIVITE BABA ALI N°45/46 OUED KERMA SAOULA ALGER;ALGER;Algerie;023 58 020 02/03;023.58.20.03;contact@ceramicdz.com;;;
SARL ZLATOIMPEX;LOCAL N°01 S02 RN N°12 AZAZGA;TIZI-OUZOU;Algerie;26         14 46 62;026 14 46 62;contact@zlatoimpex.com;;;
SARL ZOOMUONAHUN TECHNICAL;371 SECTION 07 ILOT 36;ALGER;Algerie;;;;;;
SELAM CHEMISTRY AND PVC INDUSTRIES SARL;LA ZONE D'ACTIVITE EL EULMA 19600 SETIF;SETIF;Algerie;36         47 95 42 /;036 47 95 42;INFO@SELAMGROUP.COM;;;
SELMANE MOURAD / IMOSIUM;39 COOP LES COMMUNAUX KOUBA ALGER;ALGER;Algerie;;;;;;
SIMELEC SARL;08 RUE HAMIDA BOUALEM - DAR EL BEIDA;ALGER;Algerie;021.75.43.79/80/84;021.75.43.82/81/83;simelec_alg@yahoo.fr;;;
SMART COLD;28 A OULED MENDIL DOUIRA ALGER;ALGER;Algerie;0671.46.00.00;;;;;
SNC A YA CHI SAID ET SON A SSOCIEE;Z.l OULED SALAH-TAHER W.JIJEL;JIJEL;Algerie;034 55 38 01 /02; 034 55 37 90;snc.ayachi.carrelage@yahoo.com;;;
SNC BELAID ET FILS;ROUTE NATIONALE N°01 HELAILIA BOGHAR;MEDEA;Algerie;025.70.30.92/0550.57.49.69 ;025 70 30 93;sncbelaidaluminuim@yahoo.fr;;;
SNC BENMERABET ET CIE;lot bouchaoui 03 lot 124 cherga alger;ALGER;Algerie;023 18 95 93/0661 23 95 50 ;023 18 23 94;bmpromotion160logements@gmail.com;;;
SNC BEXCAR BENBRAHIMET CIE;CITE 1600 LOGTS BT 116 N°02 EL-KHROUB CONSTANTINE;CONSTANTINE;Algerie;0550 91 05 28;031.96.54.66;contact@bexcar.com;;;
SNC BOUCHERAI ET CIE GENIMA T;RN N°26 MAAKEL SIDIAICH;BEJAIA;Algerie;0555002830/034296297;34296297;info@omtex-dz.com;;;
SNC FRERES DIB META UX;914 CITE EL MANAR KHROUB W.CONSTANTINE;CONSTANTINE;Algerie;0661 30 68 56/031.95.01.06 ;;sfdm12@yahoo.fr;;;
SARL YIDA EMBALLAGE;LOT 07 N° 08 GROUPE 61 BABA ALI BIRTOUTA ALGER;ALGER;Algerie;0797 99 88 88 ;;yidaalge@gmail.com;;;
SOCIETENA TIONALED'ASSURANCE SAA;IMMEUBLE SAA QUARTER DES AFFAIRES BAB EZZOUAR ALGER;ALGER;Algerie;0661.895.134/ 021.22.50.00/0554 998 563; 021.22.50.00;saasdcommunication@gmail.com / agougou.fouad@saa.dz / kaouah.yasmine@saa.dz / AYOUZ.TARIK@SAA.DZ;www.saa.dz;;
SOFICLEFSARL;03 RUE RABAH TELDJA ZONE D'ACTIVITE SI MUSTPHA BOUMERDES;ALGER;Algerie;24710297;24710293;contact@soficlef.com;;;
SOGIT INTERNATIONAL TRADING COMPANY;24 RUE LARBI TBESSI, LOCAL 01 BORDJ EL KIFFAN ALGER;ALGER;Algerie;0550 41 74 63/0541 72 78 46; 023 30 12 69;sogit_commercial@hotmail.fr;;;
SOLISO TECHNOLOGIES ALGERIE;N°69 RUE DES MARTYRS GUERROUA W.BLIDA;BLIDA;Algerie;770760583;023.27.47.35;solisodz@gmail.com;;;
SOM'S;35 RUE DES FRERES MELLALI ROUTE DE SIDI AHEMED 06000W.BEJAIA;BEJAIA;Algerie;034.81.88.46/0661.63.05.04;034.81.88.50;contact@soms-dz.com;;;
SOPIMEME PROMO TIONIMMOBILIERE SA RL;LOT 401 DJENANE ACHABOU CHERAGA ALGER;ALGER;Algerie;056093 91 51;;; www.sopimempromotion.com;;
SPA ENOF;31 , RUE MOHAMED HATTAB HACENE BADI - BELFORT EL HAOUCH ALGER;ALGER;Algerie;023 82 71 76/0659.60.07.29; 023.82.71.75;enof.dz_2012@gmail .com/ dea@enof.dz;;;
SPA ADWANCHEMICALS CIEALGERIA;Z I N 02 &03D3 FORNAKA MOSTAGANEM;MOSTAGANEM;Algerie;045 370 003/04 ;45370003;aouar@adwanchem .com;;;
SPA ALCAHYD;LOT BOUSHAKI F N°28 BAB EZZOUAR ALGER;BOUMERDES;Algerie;027.51.21.29;027.51.21.29  ;alcahyd@alcahyd.com; www.alcahyd.com;;
SPAALGOMAT;7         , PASSAGE MARC SEGUIN 16100 .;ALGER;Algerie;021-23-96-33/38;021-23-97-90;algomatdirection@yahoo.com/CONTACT@ALGOMAT.DZ;;;AIT HAMOUDA AMIRA 0770.93.86.38 / REDA CHEKIR 0550.62.03.83 0770.93.86.32 M. BELKHODJA RACHID /Mme BOUHARA AMIRA/
SPA BISKRIA CIMENT;DJAR BELAHRACHE BRANIS W BISKRA;BISKRA;Algerie;033 62 73 92/0560.80.98.83 ;033 62 73 92;alaeddine.debeche@bikriaciment-dz.com/contact@biskriaciment-dz.com;;;
SPA GROUPEDES SOCIETES HASNAOUI;BLOC K10 CITE MAKAM CHAHID SIDI BEL ABBES 22000 ALGERIE;SIDI-BEL-ABBES;Algerie;048.77.03.17/048.77.01.40;048.77.03.01;info@groupe-hasnaoui.com;;;
SPA ICMA;VIA GARAVAGLIA 4- 20012 GUGGIONO (Ml) ITALY;;Italie;'+39.029.72.49.134 ;;CCAMPTIOTTI@ ICMASPA.IT;;;
SPA INTER ENTREPRISE;Z.l. DESSERTE N°03 CHETOUANE BLOC N°03 13000 - TLEMCEN;TLEMCEN;Algerie;043.27.40.90/043 27 15 36 ;043.27.87.93;interentreprise@groupekherbouche;;;
SPA RESEAUXPOIDSLOURDS;B.P.38- Z -1 - ROUIBA .;ALGER;Algerie;023 87 36 74 1/021.81.36.25 ;023 87 36 79 ;contact@rpl.com;;;
SIFAG;ZONE DE DEPOT N°47. TIZI-OUZOU.;TIZI-OUZOU;Algerie;026.20.24.65;02619 96 82;sifag@sifag-dz.com;;;
SPA STAR PANEL;CITE BEN SAID BACARO TICHY;ALGER;Algerie;;;;;;
TECHNOACIER SARL;BD DU 11 DECEMBRE 1960 VILLA N°4 EL-BIAR ALGER;ALGER;Algerie;021.79.04.70-0661.69.39.68;021.91.22.00;LILA.CHABOUR;;;
TIME SMART ENERGY;CITE 156 LOGTS BD BOUGUERRA MOHAMMDI;ALGER;Algerie;;;;;;
TIMEZGHINE KACEM;CITE BEN AMMER LOT 01 GPE N° 2013 HAMMADI BOUMERDES;BOUMERDES;Algerie;0555 50 68 85/0561.75.96.73/0056107596.73/0661.66.77.84 ;;ao.ahmed@leaderaluminium.net;;;
TINMAC;LOT MANSSEUR CITE 15 LOGEMENT LOCAL N°1 ET 2 15100 DRAA BEN KHEDDA;TIZI-OUZOU;Algerie;026.28.42.21/27.43.40;026.28.40.72/27.43.40;tinmac.dz@gmail.com;;;
TONI CONSTRUCTION SARL;118 LOT ALIOUA FODIL CHERGA;ALGER;Algerie;056009/82/65 ;;y.sefsaf@toniconstruction.com;;;
TOSYAU IRON STEEL INDUSTRY ALGERIE;POLE ECONOMIQUE, PLATEAU COMMUNE GOURIRATE BETHLOUHA W.ORAN;ORAN;Algerie;041.793.131;041.793.131;bouabdellah.boutiba@tosyali-spa.com;;;
TRAVAUXA DOMCILE CONSTRUCTION SARL;CITE GARDI 1 BT N° 01 KOUBA ALGER;ALGER;Algerie;023 70 04 93;;CONTACT@TADCONSTRICUTION.COM;;;
TROUVA YET CA UVIN SPA;72 ZONE INDUSTRIELLE OUED SMAR 153PB 16000;ALGER;Algerie;023/93/57/93/9495/0672436396;023/93/57/92;;;;
TUNA YAPIFACADESYSTEMES SARL;23 ZOUATNA AINSOULTANE KOUBA ALGER;ALGER;Algerie;0558 69 56 73 /0771 22 96 26 ;;hbayram@tunayapi.com.tr;;;
UNIVER CONCRETO EURL;CITA SALIBA N° 195 OUED SMAR ALGER;ALGER;Algerie;0770 43 02 03/0550 77 62 76; 023 39 01 70;;;;
VENT ANA SARL;ZONE INDUSTRIELLE ROUIBA;ALGER;Algerie;770902150;;;;;
VITROSAK SARL;CITE OULAD BOUDIL R N° 75 COMMUNE DE GUEDDJEL SETIF;SETIF;Algerie;067188 83 43/0663 42 47 74;;;;;
WINWA YPVC;CITE SERAYDIJIA MEFTAH W.BLIDA;BLIDA;Algerie;;;;;;
YOUR ENERG Y SOL UTIONS;43 COOP KAARDOUNE GP 39 BIS BIRKHADEM 16330;ALGER;Algerie;023 400 382/383;23400200;info@yes-de.com;;;
ZEKKA OUt SID ALI;;ALGER;Algerie;0777 46 91 28 ;;biboul138@gmail.com;;;
ZEON ALUMINIUMSARL;HAOUCHE KAOUCHE GP 460 SECT 02;ALGER;Algerie;0555 42 19 68/ ;;zeonaluminium5@gmail.com;;;
GLOBAL KAPIEURL;LOT SI HOUES N° 03 AIN TAYA ALGER;ALGER;Algerie;560677313;;globalkapi.algerie@gmail.com;;;
SIKA EL DJAZAIR ;8 ROUTE DE L'ARBAA LES ENCALYPTUS  ;ALGER  ; Algérie ;021 50 16 92  ;021 50 22 08 ;;;;
